,externalID,OriginZip,DestinationZip,TotalAMount,milage,Duration
498,74951_26NSQBQ1,20009,20036,9.36,1.16,466
499,32859020,20024,22314,35.36,7.0,63
500,78876_26NQDI8B,20011,20011,5.39,0.87,198
501,27186757,20005,20005,15.87,2.0,56
502,32859006,20002,20016,28.88,6.0,49
503,76625_26NTX8A8,20024,20016,20.89,6.23,1042
504,32405950,20008,20024,0.0,0.9,30
505,56436_26NEK6G3,20004,20001,6.39,0.59,221
506,26475518,20010,20037,17.54,3.3,31
507,53332_26NNEHDK,20002,20009,14.3,3.03,932
508,57763_26NFQAE4,20009,22209,14.57,3.2,982
509,28137796,20006,20006,45.69,11.0,31
510,78876_26NTYCQG,20011,20017,5.66,0.98,217
511,29625355,20001,20001,18.0,2.26,29
512,75128_26NPAFDR,20037,20009,7.47,0.62,315
513,82308_26NTX8P2,20002,20009,16.84,2.52,1029
514,26895919,20009,20007,24.21,5.0,41
515,77251_26NCS515,20001,20010,18.62,3.01,1458
516,28760906,20002,20004,15.41,3.2,56
517,33157758,20002,20003,26.91,7.63,39
518,72904_26NPAJ01,20006,20001,11.8,1.72,568
519,53901_26NM6U8X,20002,20010,17.81,3.5,1379
520,27732856,20036,22202,23.21,3.8,44
521,28255891,20009,22201,22.51,5.0,29
522,80430_26ND9PCY,20007,20003,19.35,4.75,1263
523,29551246,20008,21240,93.29,33.8,45
524,70194_26NQEC9J,20001,20008,16.49,3.52,763
525,31491150,20037,20174,63.09,27.0,36
526,80803_26NQY09I,20004,20009,7.55,1.57,343
527,35051159,20003,20007,22.14,4.0,30
528,76938_26NCRZJT,20005,20009,7.01,0.95,337
529,28257047,20015,20015,162.67,43.3,148
530,30553257,20037,20018,23.75,5.3,43
531,31363692,20005,22202,29.05,6.2,34
532,34610100,22202,22202,57.27,17.7,32
533,34974906,20037,20037,72.2,26.0,32
534,29242181,20003,22182,58.36,19.0,30
535,56160_26NL3E5V,20441,20052,14.91,2.45,850
536,51827_26NL34NT,20002,22202,25.83,6.64,1596
537,36148848,20001,20001,22.67,3.98,29
538,81647_26NUL9I2,20009,20001,8.9,1.88,436
539,32175119,20004,22202,5.25,4.0,31
540,34293458,20010,20015,24.86,5.87,33
541,26791958,20024,20024,24.56,4.5,34
